#{"t_start": 1746947258.6964107, "env_id": "None"}
r,l,t
-1.0,1,15.312964
1.0,1,15.313638
1.0,1,15.314287
1.0,1,15.314993
1.0,1,15.315658
1.0,1,15.316309
-1.0,1,15.317452
-1.0,1,15.318227
-1.0,1,15.31901
-1.0,1,15.319737
-1.0,1,15.320483
-1.0,1,15.321199
1.0,1,15.321919
-1.0,1,15.322582
-1.0,1,15.323212
1.0,1,15.323872
1.0,1,15.324528
1.0,1,15.325171
1.0,1,15.325841
-1.0,1,15.326596
1.0,1,15.327463
-1.0,1,15.328326
-1.0,1,15.328993
-1.0,1,15.329653
1.0,1,15.330302
1.0,1,15.330941
1.0,1,15.331647
-1.0,1,15.332294
-1.0,1,15.332935
-1.0,1,15.333615
1.0,1,15.334264
1.0,1,15.334911
1.0,1,15.335575
-1.0,1,15.336205
1.0,1,15.336976
1.0,1,15.337692
1.0,1,15.338402
1.0,1,15.339041
1.0,1,15.339703
-1.0,1,15.34036
1.0,1,15.341002
-1.0,1,15.341659
1.0,1,15.342324
-1.0,1,15.342962
-1.0,1,15.343622
-1.0,1,15.344265
-1.0,1,15.344907
1.0,1,15.345595
1.0,1,15.346222
1.0,1,15.347005
1.0,1,15.347799
-1.0,1,15.348481
-1.0,1,15.34912
1.0,1,15.349782
1.0,1,15.350433
-1.0,1,15.351076
-1.0,1,15.351858
-1.0,1,15.352572
-1.0,1,15.3532
1.0,1,15.353863
1.0,1,15.354532
1.0,1,15.355164
-1.0,1,15.355824
1.0,1,15.356476
-1.0,1,15.357211
-1.0,1,15.357981
-1.0,1,15.358648
1.0,1,15.359297
-1.0,1,15.359948
1.0,1,15.360617
1.0,1,15.361265
1.0,1,15.361906
-1.0,1,15.362602
-1.0,1,15.363299
1.0,1,15.364136
1.0,1,15.364811
-1.0,1,15.365477
-1.0,1,15.366149
1.0,1,15.367711
1.0,1,15.368526
-1.0,1,15.36922
-1.0,1,15.370039
-1.0,1,15.370818
1.0,1,15.371536
1.0,1,15.372218
-1.0,1,15.37295
1.0,1,15.373667
1.0,1,15.374364
-1.0,1,15.375117
1.0,1,15.375837
1.0,1,15.376508
1.0,1,15.377242
1.0,1,15.378069
-1.0,1,15.378736
1.0,1,15.379395
1.0,1,15.380033
1.0,1,15.380696
-1.0,1,15.381351
1.0,1,15.381987
1.0,1,15.382654
-1.0,1,15.383301
-1.0,1,15.383945
-1.0,1,15.384606
1.0,1,15.385251
-1.0,1,15.385899
1.0,1,15.386589
-1.0,1,15.387501
1.0,1,15.388247
1.0,1,15.388906
1.0,1,15.389633
-1.0,1,15.390346
-1.0,1,15.390997
1.0,1,15.391655
1.0,1,15.392386
1.0,1,15.393084
-1.0,1,15.393765
1.0,1,15.394448
1.0,1,15.395089
1.0,1,15.395755
-1.0,1,15.396406
1.0,1,15.3972
-1.0,1,15.39801
-1.0,1,15.398725
-1.0,1,15.399432
1.0,1,15.400182
1.0,1,15.400974
1.0,1,15.402064
1.0,1,15.4028
1.0,1,15.403567
-1.0,1,15.40427
-1.0,1,15.405051
-1.0,1,15.405837
1.0,1,15.40657
1.0,1,15.407417
-1.0,1,15.40826
-1.0,1,15.408957
1.0,1,15.409674
-1.0,1,15.410386
1.0,1,15.411076
1.0,1,15.411789
-1.0,1,15.412493
1.0,1,15.413179
-1.0,1,15.413897
1.0,1,15.41461
1.0,1,15.415313
-1.0,1,15.416037
1.0,1,15.416815
-1.0,1,15.417584
1.0,1,15.418335
-1.0,1,15.418995
-1.0,1,15.419712
-1.0,1,15.420393
-1.0,1,15.421061
