#{"t_start": 1746947258.6964107, "env_id": "None"}
r,l,t
1.0,1,15.948632
-1.0,1,15.949292
-1.0,1,15.949923
-1.0,1,15.950583
-1.0,1,15.951226
-1.0,1,15.951888
-1.0,1,15.952615
-1.0,1,15.953279
-1.0,1,15.953977
-1.0,1,15.954695
-1.0,1,15.955388
1.0,1,15.956019
1.0,1,15.956731
1.0,1,15.95744
-1.0,1,15.958192
-1.0,1,15.958897
-1.0,1,15.959583
1.0,1,15.960242
1.0,1,15.960876
-1.0,1,15.961541
1.0,1,15.962174
-1.0,1,15.962833
1.0,1,15.963498
-1.0,1,15.964126
1.0,1,15.964785
-1.0,1,15.965449
1.0,1,15.966132
-1.0,1,15.96695
-1.0,1,15.967734
-1.0,1,15.968467
1.0,1,15.969096
-1.0,1,15.969758
1.0,1,15.970427
-1.0,1,15.97106
-1.0,1,15.971724
-1.0,1,15.972393
-1.0,1,15.973031
-1.0,1,15.973691
1.0,1,15.974357
-1.0,1,15.974988
1.0,1,15.975654
1.0,1,15.976322
-1.0,1,15.977091
1.0,1,15.977864
-1.0,1,15.978552
1.0,1,15.979215
1.0,1,15.979918
-1.0,1,15.980596
1.0,1,15.981252
1.0,1,15.98189
1.0,1,15.983557
-1.0,1,15.984198
1.0,1,15.984868
-1.0,1,15.985538
1.0,1,15.986173
1.0,1,15.986954
-1.0,1,15.987752
1.0,1,15.988458
1.0,1,15.989089
-1.0,1,15.98975
1.0,1,15.990438
1.0,1,15.991072
-1.0,1,15.991735
1.0,1,15.992407
1.0,1,15.993042
-1.0,1,15.99371
1.0,1,15.994373
-1.0,1,15.99505
-1.0,1,15.995771
-1.0,1,15.996467
-1.0,1,15.997226
-1.0,1,15.997994
-1.0,1,15.998659
1.0,1,15.999326
-1.0,1,15.999957
1.0,1,16.000626
-1.0,1,16.001289
1.0,1,16.001922
-1.0,1,16.002582
-1.0,1,16.003224
-1.0,1,16.003877
-1.0,1,16.004545
1.0,1,16.005179
-1.0,1,16.005884
-1.0,1,16.006724
1.0,1,16.007589
1.0,1,16.008333
-1.0,1,16.009033
1.0,1,16.009754
-1.0,1,16.010503
1.0,1,16.011301
1.0,1,16.012088
1.0,1,16.01294
1.0,1,16.013699
1.0,1,16.014502
1.0,1,16.01525
-1.0,1,16.015983
1.0,1,16.016778
1.0,1,16.017566
-1.0,1,16.018375
1.0,1,16.019057
-1.0,1,16.019883
-1.0,1,16.020689
1.0,1,16.021434
1.0,1,16.022132
-1.0,1,16.02284
1.0,1,16.023558
1.0,1,16.024265
-1.0,1,16.025029
-1.0,1,16.025784
-1.0,1,16.026524
1.0,1,16.027409
1.0,1,16.028226
1.0,1,16.02898
-1.0,1,16.029804
1.0,1,16.030563
1.0,1,16.03134
-1.0,1,16.032063
-1.0,1,16.032834
1.0,1,16.033549
1.0,1,16.034182
1.0,1,16.034843
-1.0,1,16.035613
1.0,1,16.036391
-1.0,1,16.037151
1.0,1,16.038024
1.0,1,16.038733
-1.0,1,16.039503
-1.0,1,16.04018
1.0,1,16.040844
1.0,1,16.041514
1.0,1,16.042144
1.0,1,16.042811
-1.0,1,16.043522
-1.0,1,16.044188
-1.0,1,16.044976
-1.0,1,16.04585
-1.0,1,16.0466
-1.0,1,16.047462
1.0,1,16.048232
-1.0,1,16.048971
-1.0,1,16.049726
-1.0,1,16.050461
1.0,1,16.051177
-1.0,1,16.051894
-1.0,1,16.052622
-1.0,1,16.053407
1.0,1,16.054246
1.0,1,16.054997
1.0,1,16.055778
-1.0,1,16.05656
1.0,1,16.057403
1.0,1,16.058213
-1.0,1,16.058949
-1.0,1,16.059662
1.0,1,16.060375
1.0,1,16.061097
1.0,1,16.061819
-1.0,1,16.062472
-1.0,1,16.063216
-1.0,1,16.063935
-1.0,1,16.064701
1.0,1,16.065404
-1.0,1,16.066046
1.0,1,16.066756
-1.0,1,16.067554
1.0,1,16.068305
1.0,1,16.068948
1.0,1,16.069608
-1.0,1,16.070256
1.0,1,16.070904
1.0,1,16.071586
-1.0,1,16.072215
-1.0,1,16.072875
-1.0,1,16.07356
1.0,1,16.074196
1.0,1,16.074861
-1.0,1,16.075514
1.0,1,16.076161
-1.0,1,16.076917
1.0,1,16.077618
1.0,1,16.078344
1.0,1,16.078986
1.0,1,16.079645
-1.0,1,16.08029
-1.0,1,16.080931
1.0,1,16.081587
1.0,1,16.082215
1.0,1,16.082877
-1.0,1,16.083523
-1.0,1,16.084165
-1.0,1,16.084846
1.0,1,16.0855
1.0,1,16.086166
-1.0,1,16.086966
1.0,1,16.087751
-1.0,1,16.08847
-1.0,1,16.089117
1.0,1,16.08978
1.0,1,16.090434
1.0,1,16.091074
1.0,1,16.091738
1.0,1,16.0924
1.0,1,16.093065
-1.0,1,16.09373
-1.0,1,16.09438
1.0,1,16.095022
-1.0,1,16.095682
-1.0,1,16.096327
1.0,1,16.097105
-1.0,1,16.09911
1.0,1,16.099778
1.0,1,16.100457
-1.0,1,16.101101
-1.0,1,16.101772
1.0,1,16.102427
1.0,1,16.103093
1.0,1,16.103762
-1.0,1,16.104435
1.0,1,16.105081
1.0,1,16.105743
-1.0,1,16.106391
-1.0,1,16.107144
-1.0,1,16.107983
1.0,1,16.108688
1.0,1,16.109346
1.0,1,16.109989
-1.0,1,16.110652
-1.0,1,16.111323
1.0,1,16.112062
1.0,1,16.112726
1.0,1,16.113381
1.0,1,16.114022
1.0,1,16.114684
-1.0,1,16.115344
1.0,1,16.115988
-1.0,1,16.116716
-1.0,1,16.117438
1.0,1,16.118195
-1.0,1,16.118885
-1.0,1,16.11967
1.0,1,16.120394
-1.0,1,16.121119
1.0,1,16.121777
-1.0,1,16.12246
1.0,1,16.123128
1.0,1,16.12384
-1.0,1,16.124528
1.0,1,16.125192
1.0,1,16.125903
1.0,1,16.126652
1.0,1,16.127534
-1.0,1,16.128303
1.0,1,16.128946
1.0,1,16.129609
1.0,1,16.13025
1.0,1,16.130894
-1.0,1,16.13154
-1.0,1,16.132179
1.0,1,16.132882
1.0,1,16.133533
-1.0,1,16.134173
1.0,1,16.134832
1.0,1,16.135501
1.0,1,16.136148
1.0,1,16.136882
-1.0,1,16.137571
1.0,1,16.138319
1.0,1,16.138961
1.0,1,16.139704
1.0,1,16.140403
-1.0,1,16.141044
1.0,1,16.141744
-1.0,1,16.142491
-1.0,1,16.143183
-1.0,1,16.143844
-1.0,1,16.144568
1.0,1,16.145262
-1.0,1,16.145957
-1.0,1,16.14678
-1.0,1,16.147648
1.0,1,16.148371
1.0,1,16.149056
-1.0,1,16.149717
1.0,1,16.150365
1.0,1,16.151003
-1.0,1,16.151662
-1.0,1,16.152308
-1.0,1,16.152948
1.0,1,16.153611
-1.0,1,16.154308
-1.0,1,16.154951
1.0,1,16.155614
1.0,1,16.156257
1.0,1,16.156997
-1.0,1,16.157696
1.0,1,16.15845
1.0,1,16.159141
1.0,1,16.159801
1.0,1,16.160449
-1.0,1,16.161091
1.0,1,16.161752
-1.0,1,16.162403
-1.0,1,16.163039
-1.0,1,16.163695
-1.0,1,16.164342
-1.0,1,16.164977
-1.0,1,16.16564
1.0,1,16.166281
1.0,1,16.167031
1.0,1,16.167855
-1.0,1,16.168535
-1.0,1,16.169173
-1.0,1,16.169833
1.0,1,16.170483
1.0,1,16.171127
-1.0,1,16.171843
1.0,1,16.172493
-1.0,1,16.17313
-1.0,1,16.17379
-1.0,1,16.174441
1.0,1,16.175082
1.0,1,16.175745
1.0,1,16.176413
1.0,1,16.177186
-1.0,1,16.177973
-1.0,1,16.178634
1.0,1,16.17928
1.0,1,16.17992
-1.0,1,16.180577
1.0,1,16.181205
-1.0,1,16.181889
-1.0,1,16.182551
1.0,1,16.183181
1.0,1,16.183841
1.0,1,16.184495
1.0,1,16.185134
-1.0,1,16.185795
-1.0,1,16.186475
1.0,1,16.187272
1.0,1,16.188048
-1.0,1,16.188707
-1.0,1,16.189356
1.0,1,16.189992
-1.0,1,16.190649
1.0,1,16.191294
-1.0,1,16.19193
1.0,1,16.19259
-1.0,1,16.193216
1.0,1,16.193878
1.0,1,16.194526
1.0,1,16.195164
1.0,1,16.195846
-1.0,1,16.196513
-1.0,1,16.197251
-1.0,1,16.198014
-1.0,1,16.198675
-1.0,1,16.199322
1.0,1,16.199956
1.0,1,16.200613
1.0,1,16.201254
1.0,1,16.201897
-1.0,1,16.20255
-1.0,1,16.203203
1.0,1,16.203858
-1.0,1,16.204506
-1.0,1,16.20514
-1.0,1,16.205799
-1.0,1,16.206447
-1.0,1,16.207201
-1.0,1,16.208023
-1.0,1,16.208688
-1.0,1,16.209339
-1.0,1,16.209979
1.0,1,16.21066
1.0,1,16.211314
1.0,1,16.211952
1.0,1,16.212611
1.0,1,16.213253
1.0,1,16.213919
1.0,1,16.214572
-1.0,1,16.215196
-1.0,1,16.215853
-1.0,1,16.216504
1.0,1,16.217327
1.0,1,16.218078
-1.0,1,16.218733
-1.0,1,16.219386
-1.0,1,16.220027
1.0,1,16.220692
-1.0,1,16.22258
-1.0,1,16.223217
1.0,1,16.223883
-1.0,1,16.22454
-1.0,1,16.225182
1.0,1,16.225849
-1.0,1,16.226499
-1.0,1,16.227317
-1.0,1,16.228104
-1.0,1,16.228771
-1.0,1,16.229421
-1.0,1,16.230062
1.0,1,16.230724
-1.0,1,16.23138
1.0,1,16.232027
1.0,1,16.232694
1.0,1,16.233352
-1.0,1,16.233994
1.0,1,16.234653
-1.0,1,16.235301
1.0,1,16.23594
-1.0,1,16.236695
1.0,1,16.23747
-1.0,1,16.238224
1.0,1,16.238883
-1.0,1,16.23953
1.0,1,16.240195
-1.0,1,16.240856
1.0,1,16.241508
-1.0,1,16.242147
1.0,1,16.242809
-1.0,1,16.243457
-1.0,1,16.244096
1.0,1,16.244755
-1.0,1,16.245402
1.0,1,16.246039
-1.0,1,16.246731
-1.0,1,16.247466
-1.0,1,16.248232
-1.0,1,16.248888
-1.0,1,16.249576
-1.0,1,16.250202
-1.0,1,16.250856
-1.0,1,16.251508
1.0,1,16.252146
-1.0,1,16.25288
1.0,1,16.253531
-1.0,1,16.254217
1.0,1,16.254876
-1.0,1,16.255524
-1.0,1,16.256166
-1.0,1,16.256899
1.0,1,16.257587
1.0,1,16.258325
1.0,1,16.25896
1.0,1,16.25962
1.0,1,16.260261
-1.0,1,16.260914
1.0,1,16.261569
-1.0,1,16.262195
1.0,1,16.262855
1.0,1,16.263504
1.0,1,16.264159
1.0,1,16.264825
1.0,1,16.265474
1.0,1,16.266118
1.0,1,16.266838
1.0,1,16.267571
-1.0,1,16.268333
-1.0,1,16.26897
1.0,1,16.269627
-1.0,1,16.270268
1.0,1,16.270908
-1.0,1,16.27156
1.0,1,16.272187
-1.0,1,16.272842
1.0,1,16.273488
1.0,1,16.274151
-1.0,1,16.274806
-1.0,1,16.275457
1.0,1,16.276094
-1.0,1,16.276811
1.0,1,16.277491
1.0,1,16.278231
1.0,1,16.278888
1.0,1,16.279534
-1.0,1,16.280172
1.0,1,16.280828
-1.0,1,16.281476
-1.0,1,16.282115
1.0,1,16.282774
-1.0,1,16.283422
-1.0,1,16.284058
1.0,1,16.284721
1.0,1,16.285366
1.0,1,16.286026
-1.0,1,16.286723
-1.0,1,16.287444
1.0,1,16.288198
-1.0,1,16.288853
1.0,1,16.289502
-1.0,1,16.290141
1.0,1,16.290803
1.0,1,16.291452
-1.0,1,16.292095
1.0,1,16.292752
1.0,1,16.2934
-1.0,1,16.294039
1.0,1,16.294694
1.0,1,16.295353
1.0,1,16.296018
1.0,1,16.296715
-1.0,1,16.297465
1.0,1,16.298213
-1.0,1,16.298869
-1.0,1,16.299514
-1.0,1,16.300152
-1.0,1,16.300816
1.0,1,16.301463
1.0,1,16.302097
1.0,1,16.302755
1.0,1,16.303402
-1.0,1,16.304037
1.0,1,16.30477
1.0,1,16.30542
-1.0,1,16.306062
1.0,1,16.306765
1.0,1,16.307577
1.0,1,16.308327
1.0,1,16.308966
1.0,1,16.30966
-1.0,1,16.310304
1.0,1,16.310938
-1.0,1,16.311595
-1.0,1,16.312219
-1.0,1,16.312944
-1.0,1,16.313639
1.0,1,16.314305
-1.0,1,16.314941
-1.0,1,16.315623
-1.0,1,16.316264
-1.0,1,16.317
1.0,1,16.31769
-1.0,1,16.318407
1.0,1,16.319045
1.0,1,16.319698
1.0,1,16.320342
-1.0,1,16.320976
1.0,1,16.321634
-1.0,1,16.322275
-1.0,1,16.322913
1.0,1,16.323568
1.0,1,16.324196
1.0,1,16.324855
1.0,1,16.325505
1.0,1,16.326142
-1.0,1,16.326866
-1.0,1,16.327645
-1.0,1,16.32837
-1.0,1,16.329005
1.0,1,16.329661
1.0,1,16.330308
-1.0,1,16.330939
-1.0,1,16.331594
1.0,1,16.332216
1.0,1,16.332873
1.0,1,16.333517
-1.0,1,16.334153
-1.0,1,16.33481
1.0,1,16.335458
1.0,1,16.336097
1.0,1,16.336802
-1.0,1,16.337503
-1.0,1,16.338246
1.0,1,16.338901
-1.0,1,16.339553
-1.0,1,16.340179
-1.0,1,16.340831
-1.0,1,16.341472
-1.0,1,16.342105
-1.0,1,16.34276
-1.0,1,16.343407
1.0,1,16.34404
-1.0,1,16.344693
1.0,1,16.345335
-1.0,1,16.345971
1.0,1,16.346657
1.0,1,16.34749
-1.0,1,16.348255
1.0,1,16.348912
1.0,1,16.349567
1.0,1,16.350197
1.0,1,16.350852
1.0,1,16.351498
-1.0,1,16.352136
-1.0,1,16.352807
1.0,1,16.353458
1.0,1,16.35418
1.0,1,16.354874
1.0,1,16.355524
1.0,1,16.356165
1.0,1,16.356892
1.0,1,16.357574
-1.0,1,16.358328
1.0,1,16.360304
-1.0,1,16.360986
-1.0,1,16.361697
1.0,1,16.362466
-1.0,1,16.363846
1.0,1,16.364659
1.0,1,16.365376
1.0,1,16.366019
-1.0,1,16.366741
-1.0,1,16.367594
1.0,1,16.368371
-1.0,1,16.369013
-1.0,1,16.369677
-1.0,1,16.370334
-1.0,1,16.37098
-1.0,1,16.371655
1.0,1,16.372314
1.0,1,16.372954
-1.0,1,16.373622
-1.0,1,16.37427
-1.0,1,16.374914
-1.0,1,16.375579
1.0,1,16.376207
-1.0,1,16.377007
1.0,1,16.377708
-1.0,1,16.378432
-1.0,1,16.379074
1.0,1,16.379735
-1.0,1,16.380389
1.0,1,16.381027
1.0,1,16.381689
1.0,1,16.382338
1.0,1,16.382973
-1.0,1,16.383634
-1.0,1,16.384278
-1.0,1,16.384919
1.0,1,16.385576
-1.0,1,16.386203
-1.0,1,16.386955
1.0,1,16.387806
-1.0,1,16.388517
-1.0,1,16.389154
-1.0,1,16.389834
-1.0,1,16.390482
-1.0,1,16.391124
1.0,1,16.391785
1.0,1,16.392433
-1.0,1,16.393071
-1.0,1,16.39379
1.0,1,16.394443
-1.0,1,16.395079
-1.0,1,16.395738
-1.0,1,16.396384
-1.0,1,16.397133
1.0,1,16.397867
1.0,1,16.398567
-1.0,1,16.399194
1.0,1,16.39985
1.0,1,16.400498
1.0,1,16.40116
1.0,1,16.401892
-1.0,1,16.402598
1.0,1,16.403223
-1.0,1,16.403879
-1.0,1,16.404524
-1.0,1,16.405165
-1.0,1,16.405825
-1.0,1,16.40649
1.0,1,16.407344
-1.0,1,16.408127
1.0,1,16.408784
1.0,1,16.409435
1.0,1,16.410073
1.0,1,16.410733
1.0,1,16.41141
1.0,1,16.412068
1.0,1,16.412771
1.0,1,16.41342
1.0,1,16.414059
1.0,1,16.41472
1.0,1,16.415394
-1.0,1,16.416072
-1.0,1,16.416849
-1.0,1,16.417587
1.0,1,16.418336
-1.0,1,16.418972
1.0,1,16.419636
-1.0,1,16.420281
1.0,1,16.421
-1.0,1,16.421659
1.0,1,16.422302
-1.0,1,16.42294
1.0,1,16.423604
-1.0,1,16.424247
-1.0,1,16.424972
1.0,1,16.42569
1.0,1,16.426354
1.0,1,16.427135
1.0,1,16.427983
1.0,1,16.428642
1.0,1,16.429361
-1.0,1,16.430062
1.0,1,16.43072
-1.0,1,16.431376
1.0,1,16.432011
-1.0,1,16.43273
-1.0,1,16.433432
1.0,1,16.43407
-1.0,1,16.43473
1.0,1,16.435377
-1.0,1,16.436018
1.0,1,16.436713
1.0,1,16.437419
1.0,1,16.438155
-1.0,1,16.43881
-1.0,1,16.439458
1.0,1,16.440095
-1.0,1,16.440754
-1.0,1,16.441412
-1.0,1,16.44205
1.0,1,16.442705
1.0,1,16.443368
-1.0,1,16.444055
1.0,1,16.444708
1.0,1,16.445353
-1.0,1,16.446044
-1.0,1,16.446814
1.0,1,16.447562
1.0,1,16.448326
1.0,1,16.448964
-1.0,1,16.44962
1.0,1,16.450263
1.0,1,16.450899
-1.0,1,16.451552
1.0,1,16.452179
1.0,1,16.452835
-1.0,1,16.45348
-1.0,1,16.454114
-1.0,1,16.454777
1.0,1,16.455421
-1.0,1,16.45606
-1.0,1,16.456882
1.0,1,16.457576
1.0,1,16.458348
1.0,1,16.459007
-1.0,1,16.459663
-1.0,1,16.460304
1.0,1,16.460941
-1.0,1,16.461623
1.0,1,16.462265
-1.0,1,16.462901
1.0,1,16.463634
-1.0,1,16.464281
-1.0,1,16.46492
-1.0,1,16.465574
1.0,1,16.466198
1.0,1,16.466933
1.0,1,16.467665
1.0,1,16.468385
1.0,1,16.469039
1.0,1,16.469696
1.0,1,16.470342
-1.0,1,16.470977
-1.0,1,16.471632
1.0,1,16.472272
-1.0,1,16.472904
1.0,1,16.473557
1.0,1,16.474181
1.0,1,16.474836
1.0,1,16.475479
-1.0,1,16.476117
-1.0,1,16.47691
1.0,1,16.477632
1.0,1,16.478358
1.0,1,16.478993
1.0,1,16.479651
1.0,1,16.480295
1.0,1,16.480931
1.0,1,16.481583
1.0,1,16.482205
1.0,1,16.482856
-1.0,1,16.483497
-1.0,1,16.484142
1.0,1,16.484794
-1.0,1,16.48544
-1.0,1,16.486075
-1.0,1,16.486783
-1.0,1,16.487506
-1.0,1,16.488265
-1.0,1,16.48892
1.0,1,16.48957
1.0,1,16.490192
-1.0,1,16.490843
-1.0,1,16.491512
1.0,1,16.492144
1.0,1,16.492792
1.0,1,16.493436
-1.0,1,16.49407
-1.0,1,16.494751
1.0,1,16.495392
-1.0,1,16.496162
-1.0,1,16.496971
1.0,1,16.497729
-1.0,1,16.498445
-1.0,1,16.499075
-1.0,1,16.499728
1.0,1,16.500369
1.0,1,16.501033
1.0,1,16.501708
1.0,1,16.502347
-1.0,1,16.50298
-1.0,1,16.503636
-1.0,1,16.504277
-1.0,1,16.50491
1.0,1,16.505565
-1.0,1,16.506188
-1.0,1,16.506922
1.0,1,16.507716
1.0,1,16.508428
1.0,1,16.509067
-1.0,1,16.509745
1.0,1,16.510393
1.0,1,16.511025
1.0,1,16.511678
1.0,1,16.512317
-1.0,1,16.51295
-1.0,1,16.513602
-1.0,1,16.514223
-1.0,1,16.516295
-1.0,1,16.517103
1.0,1,16.517893
1.0,1,16.518621
-1.0,1,16.519267
-1.0,1,16.519909
-1.0,1,16.520566
1.0,1,16.521195
-1.0,1,16.521852
-1.0,1,16.522505
1.0,1,16.52315
1.0,1,16.523844
1.0,1,16.524529
1.0,1,16.525174
-1.0,1,16.525842
-1.0,1,16.526496
-1.0,1,16.527281
-1.0,1,16.528034
1.0,1,16.528707
-1.0,1,16.529357
1.0,1,16.529998
-1.0,1,16.530658
-1.0,1,16.531311
-1.0,1,16.53195
-1.0,1,16.532612
1.0,1,16.533261
1.0,1,16.533909
1.0,1,16.534563
-1.0,1,16.535191
1.0,1,16.535852
-1.0,1,16.5365
-1.0,1,17.439085
1.0,1,17.439837
-1.0,1,17.440522
-1.0,1,17.441162
1.0,1,17.441827
1.0,1,17.442493
1.0,1,17.443129
-1.0,1,17.443792
1.0,1,17.444456
1.0,1,17.445094
-1.0,1,17.445772
1.0,1,17.446454
1.0,1,17.4472
1.0,1,17.447959
1.0,1,17.448684
1.0,1,17.449353
-1.0,1,17.449994
1.0,1,17.450661
-1.0,1,17.451338
1.0,1,17.451978
1.0,1,17.452643
-1.0,1,17.453302
-1.0,1,17.454094
1.0,1,17.454769
-1.0,1,17.455442
1.0,1,17.456076
1.0,1,17.456768
-1.0,1,17.457499
-1.0,1,17.458272
-1.0,1,17.458909
1.0,1,17.459577
1.0,1,17.460248
-1.0,1,17.460891
-1.0,1,17.461559
-1.0,1,17.462194
1.0,1,17.462858
1.0,1,17.463523
-1.0,1,17.464159
-1.0,1,17.464832
-1.0,1,17.465546
1.0,1,17.466176
1.0,1,17.466898
1.0,1,17.467681
1.0,1,17.468452
1.0,1,17.469083
1.0,1,17.469738
1.0,1,17.470402
1.0,1,17.471032
1.0,1,17.471689
-1.0,1,17.472351
1.0,1,17.472977
-1.0,1,17.473637
1.0,1,17.474296
1.0,1,17.474933
1.0,1,17.475656
1.0,1,17.476361
-1.0,1,17.477203
1.0,1,17.478029
1.0,1,17.478727
1.0,1,17.47939
-1.0,1,17.480023
1.0,1,17.480682
1.0,1,17.481346
-1.0,1,17.481982
1.0,1,17.482642
1.0,1,17.483296
1.0,1,17.483929
-1.0,1,17.484593
1.0,1,17.485248
-1.0,1,17.485884
1.0,1,17.486607
1.0,1,17.487503
-1.0,1,17.488295
-1.0,1,17.48893
-1.0,1,17.489594
1.0,1,17.490248
-1.0,1,17.490885
1.0,1,17.491542
-1.0,1,17.492177
1.0,1,17.492907
-1.0,1,17.49363
-1.0,1,17.494313
1.0,1,17.494944
1.0,1,17.495606
1.0,1,17.496273
-1.0,1,17.496993
1.0,1,17.497685
-1.0,1,17.498479
1.0,1,17.499117
1.0,1,17.49983
-1.0,1,17.500496
1.0,1,17.50113
1.0,1,17.501791
1.0,1,17.502457
1.0,1,17.503091
1.0,1,17.503749
1.0,1,17.504412
-1.0,1,17.505042
-1.0,1,17.505744
1.0,1,17.506446
-1.0,1,17.50735
1.0,1,17.508185
1.0,1,17.508867
1.0,1,17.50955
1.0,1,17.510197
1.0,1,17.510873
1.0,1,17.511546
1.0,1,17.512191
1.0,1,17.512866
1.0,1,17.513537
1.0,1,17.514172
1.0,1,17.514834
1.0,1,17.515507
1.0,1,17.51615
1.0,1,17.516881
1.0,1,17.517603
-1.0,1,17.51839
1.0,1,17.519033
1.0,1,17.519705
1.0,1,17.520428
-1.0,1,17.521075
-1.0,1,17.521748
-1.0,1,17.52245
1.0,1,17.5231
1.0,1,17.523827
-1.0,1,17.524548
1.0,1,17.525308
-1.0,1,17.526022
-1.0,1,17.526795
-1.0,1,17.527656
-1.0,1,17.528453
1.0,1,17.529094
1.0,1,17.529769
1.0,1,17.530449
-1.0,1,17.531092
1.0,1,17.531796
-1.0,1,17.53247
1.0,1,17.53317
-1.0,1,17.533907
-1.0,1,17.53458
1.0,1,17.535245
1.0,1,17.535887
-1.0,1,17.536559
1.0,1,17.537343
1.0,1,17.53808
1.0,1,17.538748
1.0,1,17.539419
-1.0,1,17.540055
1.0,1,17.540716
-1.0,1,17.541384
1.0,1,17.542019
1.0,1,17.542686
-1.0,1,17.543356
1.0,1,17.543995
1.0,1,17.54466
-1.0,1,17.54533
1.0,1,17.54597
-1.0,1,17.546636
1.0,1,17.547499
-1.0,1,17.548297
1.0,1,17.548935
-1.0,1,17.549722
1.0,1,17.550412
1.0,1,17.551065
1.0,1,17.551737
1.0,1,17.552404
-1.0,1,17.553054
1.0,1,17.553727
1.0,1,17.554419
1.0,1,17.555157
1.0,1,17.555838
1.0,1,17.556509
-1.0,1,17.557248
-1.0,1,17.558
-1.0,1,17.558703
-1.0,1,17.559365
-1.0,1,17.560018
-1.0,1,17.560685
-1.0,1,17.561347
1.0,1,17.561992
1.0,1,17.562664
1.0,1,17.563323
1.0,1,17.563972
1.0,1,17.564645
-1.0,1,17.565304
1.0,1,17.565998
-1.0,1,17.566671
-1.0,1,17.567492
-1.0,1,17.568279
1.0,1,17.568949
1.0,1,17.56968
1.0,1,17.570344
1.0,1,17.570995
-1.0,1,17.571668
1.0,1,17.572328
1.0,1,17.572974
1.0,1,17.573647
1.0,1,17.574305
-1.0,1,17.574954
1.0,1,17.575634
-1.0,1,17.57629
1.0,1,17.577011
1.0,1,17.577704
1.0,1,17.578477
1.0,1,17.579118
-1.0,1,17.579788
-1.0,1,17.580522
1.0,1,17.581228
-1.0,1,17.581893
1.0,1,17.582567
1.0,1,17.583198
1.0,1,17.583867
1.0,1,17.58462
-1.0,1,17.585333
1.0,1,17.585979
-1.0,1,17.58665
-1.0,1,17.587534
1.0,1,17.588302
-1.0,1,17.588949
-1.0,1,17.589624
-1.0,1,17.590282
-1.0,1,17.590929
-1.0,1,17.591598
1.0,1,17.592254
1.0,1,17.5929
1.0,1,17.595326
1.0,1,17.59599
-1.0,1,17.596671
1.0,1,17.597436
1.0,1,17.598195
-1.0,1,17.598867
1.0,1,17.599541
-1.0,1,17.600181
1.0,1,17.600857
-1.0,1,17.601584
1.0,1,17.602262
1.0,1,17.602939
-1.0,1,17.603623
1.0,1,17.604286
1.0,1,17.604938
-1.0,1,17.60561
-1.0,1,17.60627
1.0,1,17.606993
-1.0,1,17.607713
1.0,1,17.608495
-1.0,1,17.609137
1.0,1,17.609812
1.0,1,17.610484
1.0,1,17.611125
1.0,1,17.611802
-1.0,1,17.612477
1.0,1,17.613116
-1.0,1,17.613786
1.0,1,17.614449
1.0,1,17.615098
1.0,1,17.615767
1.0,1,17.616433
-1.0,1,17.617189
-1.0,1,17.617918
1.0,1,17.618648
1.0,1,17.619308
1.0,1,17.619958
1.0,1,17.620633
1.0,1,17.62129
1.0,1,17.621941
1.0,1,17.622616
1.0,1,17.623274
1.0,1,17.623923
-1.0,1,17.624595
-1.0,1,17.625254
-1.0,1,17.625909
1.0,1,17.626583
-1.0,1,17.627359
-1.0,1,17.628119
-1.0,1,17.628795
1.0,1,17.629465
-1.0,1,17.630104
1.0,1,17.630774
-1.0,1,17.631439
1.0,1,17.632089
1.0,1,17.632768
1.0,1,17.63344
1.0,1,17.634094
-1.0,1,17.634766
1.0,1,17.635429
-1.0,1,17.636082
-1.0,1,17.636849
-1.0,1,17.637629
-1.0,1,17.638386
-1.0,1,17.639037
1.0,1,17.639708
-1.0,1,17.640373
1.0,1,17.641023
1.0,1,17.641692
1.0,1,17.642359
1.0,1,17.643068
-1.0,1,17.643739
-1.0,1,17.644403
1.0,1,17.645052
1.0,1,17.645721
-1.0,1,17.646383
-1.0,1,17.647132
1.0,1,17.647866
-1.0,1,17.648613
1.0,1,17.649277
-1.0,1,17.649926
1.0,1,17.650598
1.0,1,17.651256
-1.0,1,17.651909
1.0,1,17.65265
1.0,1,17.653448
1.0,1,17.654168
1.0,1,17.654845
1.0,1,17.655656
1.0,1,17.656363
1.0,1,17.65712
-1.0,1,17.657902
1.0,1,17.658707
-1.0,1,17.659371
1.0,1,17.660007
-1.0,1,17.660669
1.0,1,17.661391
-1.0,1,17.662081
1.0,1,17.662744
1.0,1,17.663449
1.0,1,17.664081
1.0,1,17.664742
-1.0,1,17.665411
1.0,1,17.6661
-1.0,1,17.666821
1.0,1,17.667658
1.0,1,17.668455
-1.0,1,17.669085
1.0,1,17.669747
1.0,1,17.670413
1.0,1,17.671045
-1.0,1,17.671704
1.0,1,17.672403
-1.0,1,17.67308
-1.0,1,17.673754
1.0,1,17.674423
-1.0,1,17.675052
-1.0,1,17.675716
1.0,1,17.67638
1.0,1,17.677117
-1.0,1,17.677893
-1.0,1,17.678617
1.0,1,17.679278
1.0,1,17.679946
1.0,1,17.680663
1.0,1,17.681328
1.0,1,17.681957
1.0,1,17.682619
-1.0,1,17.683275
1.0,1,17.683906
-1.0,1,17.684562
-1.0,1,17.685192
-1.0,1,17.685858
1.0,1,17.686518
1.0,1,17.687312
-1.0,1,17.688061
1.0,1,17.688735
1.0,1,17.689399
-1.0,1,17.690029
1.0,1,17.690686
1.0,1,17.691343
